model_type,seed,dataset_name,split,architecture,input_dims,output_dim,hidden_dims,kernel_dim,k_lipschitz,max_epochs,patience,frequency,batch_size,clf_type,lr,loss,fisher_c,lamb1,lamb2,lambda_qx,use_quantum_metrics,complex_support,enable_enhanced_metrics,ood_dataset_name,id_accuracy,id_max_prob_apr,id_max_prob_auroc,id_max_modified_prob_apr,id_max_modified_prob_auroc,id_max_alpha_apr,id_max_alpha_auroc,id_alpha0_apr,id_alpha0_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,id_qx_ent_apr,id_qx_ent_auroc,id_qd_apr,id_qd_auroc,id_qn_apr,id_qn_auroc,ood_max_prob_apr,ood_max_prob_auroc,ood_max_modified_prob_apr,ood_max_modified_prob_auroc,ood_max_alpha_apr,ood_max_alpha_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_ent_apr,ood_diff_ent_auroc,ood_mi_apr,ood_mi_auroc,ood_qx_ent_apr,ood_qx_ent_auroc,ood_qd_apr,ood_qd_auroc,ood_qn_apr,ood_qn_auroc,id_qx_entropy_value,ood_qx_entropy_value,id_discord_value,ood_discord_value,id_nonspecificity_value,ood_nonspecificity_value
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.8836,0.9857974396500424,0.8995350208568887,0.9857974396579214,0.899534969579965,0.9853151584271451,0.8964037955178842,0.9244318601493986,0.6176363902071331,0.9776709747291668,0.8419822633121304,0.9699248172444634,0.7965358335961277,0.9834990222979488,0.8886353506974747,0.9834991599071561,0.8886353993114702,0.8836365132442571,0.5009775302223487,0.9015051125411057,0.8815226899999999,0.901505137574496,0.881522685,0.8959634042512108,0.873154965,0.5035350632574785,0.49038909,0.8902787140792064,0.8716523049999999,0.776357584727861,0.71973511,0.892223663018183,0.865786,0.8922243808200689,0.86578578,0.4991704767344306,0.49748697,9.009328842163086,9.188471794128418,2.0788352489471436,2.257976770401001,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.8836,0.9857974396500424,0.8995350208568887,0.9857974396579214,0.899534969579965,0.9853151584271451,0.8964037955178842,0.9244318601493986,0.6176363902071331,0.9776709747291668,0.8419822633121304,0.9699248172444634,0.7965358335961277,0.9834990222979488,0.8886353506974747,0.9834991599071561,0.8886353993114702,0.8836365132442571,0.5009775302223487,0.850535834308597,0.846069035,0.8505357443979095,0.8460689899999999,0.8542506327791739,0.8486471250000001,0.717741441054124,0.6970957,0.8099497198775512,0.78839687,0.8445881448850366,0.8176077900000001,0.850016765256236,0.836663315,0.8500173124029442,0.83666324,0.5017268675359938,0.5027157649999999,9.009328842163086,9.17770004272461,2.0788352489471436,2.247204065322876,6.93049430847168,6.93049430847168
menet,1001,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.8807,0.9847883410013905,0.8890485732909725,0.9847883531418901,0.8890485732909725,0.9842622418320524,0.8860607512795875,0.9278894740792303,0.5961671948213864,0.9768141275582277,0.832086751293413,0.967602471726404,0.7875064909557655,0.9816424154118161,0.875717383994348,0.9816425853151027,0.8757176219366005,0.8830659675842883,0.5115737015181951,0.889009182921201,0.866810305,0.8890092127144926,0.866810285,0.887029878829632,0.8646991500000001,0.6197113017823989,0.589227415,0.8605016144445108,0.8285833449999999,0.8134410842637523,0.780840145,0.8909731210921372,0.8647024799999999,0.8909737730944007,0.864702455,0.49847823229782384,0.5002250899999999,8.985376358032227,9.177367210388184,2.0548818111419678,2.246873140335083,6.93049430847168,6.93049430847168
menet,1001,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.8807,0.9847883410013905,0.8890485732909725,0.9847883531418901,0.8890485732909725,0.9842622418320524,0.8860607512795875,0.9278894740792303,0.5961671948213864,0.9768141275582277,0.832086751293413,0.967602471726404,0.7875064909557655,0.9816424154118161,0.875717383994348,0.9816425853151027,0.8757176219366005,0.8830659675842883,0.5115737015181951,0.9349770899571269,0.918454985,0.9349770739766954,0.9184549399999999,0.9345231821133446,0.916520235,0.6775430647021361,0.5946577249999999,0.9034864859334528,0.8836430200000001,0.8670134579465043,0.8203914050000001,0.920591904526657,0.90476645,0.9205924997244429,0.9047664599999999,0.4940156154877897,0.49293740500000005,8.985376358032227,9.189610481262207,2.0548818111419678,2.2591145038604736,6.93049430847168,6.93049430847168
menet,1002,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.882,0.9847455358630093,0.8994040419016117,0.984745585343889,0.8994044198737365,0.9838126087395551,0.8934796123253308,0.9376057299339433,0.6650960035022897,0.9772461104465775,0.8525878948190511,0.9671850983932693,0.7915024968366094,0.9835921941965784,0.889236711633806,0.9835922808702594,0.8892364714247281,0.879875525263978,0.495148160959299,0.8882470941281747,0.8573108549999999,0.8882470601928123,0.8573108249999999,0.8800278199148048,0.8451239749999999,0.5829548406996562,0.54001305,0.891994890470314,0.8708280099999999,0.7737017399088667,0.701528715,0.8972280938780623,0.8704044950000001,0.8972288462999635,0.87040438,0.5001039167226918,0.5003795900000001,9.0313138961792,9.189027786254883,2.100818634033203,2.2585320472717285,6.93049430847168,6.93049430847168
menet,1002,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.882,0.9847455358630093,0.8994040419016117,0.984745585343889,0.8994044198737365,0.9838126087395551,0.8934796123253308,0.9376057299339433,0.6650960035022897,0.9772461104465775,0.8525878948190511,0.9671850983932693,0.7915024968366094,0.9835921941965784,0.889236711633806,0.9835922808702594,0.8892364714247281,0.879875525263978,0.495148160959299,0.8489570464312213,0.8267937949999999,0.848957088222013,0.8267938600000001,0.8339309508362863,0.80691098,0.502744513673688,0.407126215,0.9096939707769354,0.9010758050000001,0.6971367518136881,0.612310485,0.8705025401182657,0.8536760800000001,0.8705030985150795,0.8536757500000001,0.49999706532238625,0.50296341,9.0313138961792,9.183014869689941,2.100818634033203,2.2525203227996826,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.8836,0.9857974396500424,0.8995350208568887,0.9857974396579214,0.899534969579965,0.9853151584271451,0.8964037955178842,0.9244318601493986,0.6176363902071331,0.9776709747291668,0.8419822633121304,0.9699248172444634,0.7965358335961277,0.9834990222979488,0.8886353506974747,0.9834991599071561,0.8886353993114702,0.8836365132442571,0.5009775302223487,0.9015051125411057,0.8815226899999999,0.901505137574496,0.881522685,0.8959634042512108,0.873154965,0.5035350632574785,0.49038909,0.8902787140792064,0.8716523049999999,0.776357584727861,0.71973511,0.892223663018183,0.865786,0.8922243808200689,0.86578578,0.4991704767344306,0.49748697,9.009328842163086,9.188471794128418,2.0788352489471436,2.257976770401001,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,1,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.8836,0.9857974396500424,0.8995350208568887,0.9857974396579214,0.899534969579965,0.9853151584271451,0.8964037955178842,0.9244318601493986,0.6176363902071331,0.9776709747291668,0.8419822633121304,0.9699248172444634,0.7965358335961277,0.9834990222979488,0.8886353506974747,0.9834991599071561,0.8886353993114702,0.8836365132442571,0.5009775302223487,0.850535834308597,0.846069035,0.8505357443979095,0.8460689899999999,0.8542506327791739,0.8486471250000001,0.717741441054124,0.6970957,0.8099497198775512,0.78839687,0.8445881448850366,0.8176077900000001,0.850016765256236,0.836663315,0.8500173124029442,0.83666324,0.5017268675359938,0.5027157649999999,9.009328842163086,9.17770004272461,2.0788352489471436,2.247204065322876,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,60,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,KMNIST,0.9567,0.9867287693585781,0.789732604210345,0.9867287816079766,0.7897328456098246,0.9867000800126116,0.7892815492825487,0.8989129843428396,0.17515873826285555,0.9852151267102626,0.7647074443495745,0.9816970139594747,0.7054318021122938,0.9846862304556345,0.7557596105357355,0.9846867484868572,0.7557643178255893,0.9580785154443557,0.5136290525239402,0.7679591126680418,0.740462995,0.7679591737659354,0.74046308,0.7671191622396111,0.738917515,0.313698330805533,0.06749781499999999,0.7659010324714783,0.7390491950000001,0.6972042330855045,0.5834670200000001,0.7463841283563928,0.69894309,0.746385451366266,0.6989436900000001,0.5039363241969118,0.504350535,8.775665283203125,9.167180061340332,1.8451707363128662,2.2366836071014404,6.93049430847168,6.93049430847168
menet,1000,MNIST,"[0.8, 0.2]",conv,"[1, 28, 28]",10,"[64, 64, 64]",5,,60,10,1,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,True,True,True,FMNIST,0.9567,0.9867287693585781,0.789732604210345,0.9867287816079766,0.7897328456098246,0.9867000800126116,0.7892815492825487,0.8989129843428396,0.17515873826285555,0.9852151267102626,0.7647074443495745,0.9816970139594747,0.7054318021122938,0.9846862304556345,0.7557596105357355,0.9846867484868572,0.7557643178255893,0.9580785154443557,0.5136290525239402,0.7243854272580594,0.658231245,0.7243854382289258,0.658231215,0.7235330270818644,0.656356415,0.30889403829458384,0.027148824999999998,0.7259759298435104,0.663620035,0.668811060903651,0.50786186,0.7058086520878896,0.6134589049999999,0.7058072714102495,0.6134601,0.5045654192863359,0.50772387,8.775665283203125,9.129881858825684,1.8451707363128662,2.1993870735168457,6.93049430847168,6.93049430847168
