model_type,seed,dataset_name,split,architecture,input_dims,output_dim,hidden_dims,kernel_dim,k_lipschitz,max_epochs,patience,frequency,batch_size,clf_type,lr,loss,fisher_c,lamb1,lamb2,lambda_qx,ood_dataset_name,id_accuracy,id_max_prob_apr,id_max_prob_auroc,id_max_modified_prob_apr,id_max_modified_prob_auroc,id_max_alpha_apr,id_max_alpha_auroc,id_alpha0_apr,id_alpha0_auroc,id_diff_ent_apr,id_diff_ent_auroc,id_mi_apr,id_mi_auroc,ood_max_prob_apr,ood_max_prob_auroc,ood_max_modified_prob_apr,ood_max_modified_prob_auroc,ood_max_alpha_apr,ood_max_alpha_auroc,ood_alpha0_apr,ood_alpha0_auroc,ood_diff_ent_apr,ood_diff_ent_auroc,ood_mi_apr,ood_mi_auroc
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,3e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.098,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,3e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.098,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
menet,1001,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,3e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.1265,0.1402407653132669,0.5927913815389974,0.1402407653132669,0.5927913815389974,0.10186084795372964,0.46846699182425783,0.08656851569171647,0.3935910082304771,0.12125774429646177,0.501442346401908,0.11400765850140601,0.5008009950663146,0.46954342028085144,0.48423801499999997,0.46954341600860966,0.484238005,0.4247640305401294,0.399964415,0.5049780919651513,0.45383184,0.5054662823896734,0.50659488,0.49947194994265337,0.49885018999999997
menet,1001,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,3e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.1265,0.1402407653132669,0.5927913815389974,0.1402407653132669,0.5927913815389974,0.10186084795372964,0.46846699182425783,0.08656851569171647,0.3935910082304771,0.12125774429646177,0.501442346401908,0.11400765850140601,0.5008009950663146,0.5687754213529284,0.5640552349999999,0.5687754230941322,0.564055235,0.4352855031521361,0.40924854,0.48515926705346657,0.3768859299999999,0.5208369271926094,0.521198755,0.4995302882762366,0.49885022999999995
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.098,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.098,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,KMNIST,0.098,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.01,FMNIST,0.098,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.098,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.03,KMNIST,0.6911,0.9196558376273114,0.7641933452310241,0.9196558151418165,0.7641932882060491,0.9586886509389785,0.8659231636361315,0.6848332367101222,0.3146270315717634,0.7782818858084235,0.4770191061038621,0.7738512150976671,0.5018551364904185,0.7350118532489721,0.68481461,0.7350118669303782,0.68481461,0.7991766617907096,0.755531505,0.43100395421515936,0.36584348499999997,0.522236690458508,0.4996768,0.49997503377295477,0.49995012999999994
menet,1000,MNIST,"[0.8, 0.2]",conv,"[28, 28, 1]",10,"[64, 64, 64]",5,,60,10,2,64,softplus,1e-05,MEDL,0.0,1.0,0.1,0.03,FMNIST,0.6911,0.9196558376273114,0.7641933452310241,0.9196558151418165,0.7641932882060491,0.9586886509389785,0.8659231636361315,0.6848332367101222,0.3146270315717634,0.7782818858084235,0.4770191061038621,0.7738512150976671,0.5018551364904185,0.6843978922603261,0.6283335600000001,0.6843978752329622,0.62833354,0.8055651615008033,0.7595489199999998,0.46718534864712613,0.42431863999999997,0.5066643302445611,0.49384509,0.5000500600517996,0.500100055
